Speaker,Time,Date,Duration,Statement,Trimmed Statement,rac,gender,discriminat,bias,automat,cognitive,user,interact,deploy,data,algorithm,program,develop,process,societ,existing,histor,selection,measures
INTERNATIONAL COMMITTEE FOR ROBOT ARMS CONTROL,16:39:55,2024-03-06,0:02:43,"Thank you very much, Chair. My general comments here want to focus on the question of using agreed language when identifying risks. Indeed Delegations have emphasized the importance of using agreed language. In our understanding agreed language does not only mean language included in previous reports of this group but also includes language found in IHL and other binding sources of international law. There are three phrases or terminologies currently Chair on the screen in reply to your prompts that we want to focus on. The first phrase is the phrase unintended engagements which does not appear in the text of the CCW or the Geneva Conventions in the additional protocol. Does the risk of unintended engagements mean the risk of unintended killing of civilians or protected persons? If that is the case it is better to keep to IHL language on indiscriminate attacks or civilian harm. Second, phrases like algorithmic bias or simply bias do not sufficiently capture the risk being referred to. In its place it may be better, for example, to talk about the risk of discrimination or the risk of gender or racial discrimination, phrases which exist in binding legal norms. Third, the phrase risk mitigation, the phrase risk mitigation does also equally does not appear in the text of the CCW or the Geneva Conventions and the additional protocols. It is critical that we explain what we mean by this and how this aligns with established international legal obligations such as those that are found under international humanitarian law. Chair, some risks that are posed by laws already necessitate compliance with state obligations that exceed mere risk mitigation. Let me just give two examples, Chair. Let's talk about the risk of arbitrary deprivation of the right to life due to failure to comply with rules of distinction, for example. The obligation there is an obligation of prohibition on arbitrary deprivation of life. It is not an obligation to mitigate that particular risk. So when we say we are trying to mitigate risk, we need to be clear which particular risk we are referring to. If you look, for example, at the risk of racial and gender discrimination, the existing international obligations on state is to eliminate all forms of racial and gender discrimination. It is not to mitigate that particular risk. So it is very important in this particular regard for us to have some clarity. Lastly, it is evident, Chair, that certain risks posed by laws entail international obligations that surpass mere risk mitigation. While introducing new terms is permissible, caution must be exercised to avoid terminologies that undermine existing obligations. In cases where clear state obligations pertain to specific risks, any proposed risk mitigation should be regarded only as supplementary to existing obligations. With that, Chair, I thank you.","[...] My general comments here want to focus on the question of using agreed language when identifying risks. Indeed Delegations have emphasized the importance of using agreed language. In our understanding agreed language does not only mean language included in previous reports of this group but also includes language found in IHL and other binding sources of international law. There are three phrases or terminologies currently Chair on the screen in reply to your prompts that we want to focus on. The first phrase is the phrase unintended engagements which does not appear in the text of the CCW or the Geneva Conventions in the additional protocol. Does the risk of unintended engagements mean the risk of unintended killing of civilians or protected persons? If that is the case it is better to keep to IHL language on indiscriminate attacks or civilian harm. Second, phrases like algorithmic bias or simply bias do not sufficiently capture the risk being referred to. In its place it may be better, for example, to talk about the risk of discrimination or the risk of gender or racial discrimination, phrases which exist in binding legal norms. [...] ",x,,x,x,,,,,,,x,,,,,,,,
EUROPEAN UNION,16:46:31,2024-03-06,0:00:56,"Thank you, Chair. I would like to make a general comment and one of more specific nature on risk mitigation. The European Union is of the view that tailored risk mitigation measures including those across the life cycle should be adopted and implemented and with regard to the question of risk with regard to the development and use of laws and specifically on bullet 4, the EU recognizes the critical role that data plays for AI-based technologies. Social biases that have a potential impact on emerging technologies, for example, for gender bias in algorithms should also be given due consideration. Thank you.","[...] I would like to make a general comment and one of more specific nature on risk mitigation. The European Union is of the view that tailored risk mitigation measures including those across the life cycle should be adopted and implemented and with regard to the question of risk with regard to the development and use of laws and specifically on bullet 4, the EU recognizes the critical role that data plays for AI - based technologies. Social biases that have a potential impact on emerging technologies, for example, for gender bias in algorithms should also be given due consideration. [...]",,x,,x,,,,,,x,x,,x,,,,,,
UNITED STATES,17:30:03,2024-03-06,0:06:19,"Thank you, Mr. Chair. Just in the spirit of interactivity, I wanted to respond to the two points raised by our Distinguished Civil Society representative from ICRAC and just to provide a further clarification on our thinking on those very important topics. First with regard to the concept of unintended engagement, again, this is a core concept underlying US policy relating to autonomy and weapons systems. It is the thrust of our DoD directive 3000.09, autonomy and weapons systems is trying to reduce the probability of risks and failures that could lead to this outcome. The directive defines unintended engagement as and I will just read it out, the use of force against persons or objects that commanders or operators did not intend to be the targets of US military operations, including unacceptable levels of collateral damage beyond those consistent with the law of war rules of engagement and commanders' intent. And so the thrust of this policy is to really try and align the use of force in military operations as much as possible with commanders' intent and that includes commanders' intentions to reduce collateral damage or risk of harm to civilians as much as possible and to fully implement our IHL obligations. So we view this concept as a very important one in the context of autonomy and weapons systems and it is very useful for aligning the effects of the weapon with the intentions of the users. Therefore, just to respond to the question, we think it is relevant in particular with regard to lawful weapons, weapons that are not inherently discriminant or prohibited from use in all circumstances, but it is a consideration that we believe is applicable with regard to semi-autonomous and autonomous weapons systems that are lawful and may be used consistent with IHL rules. So we wanted to just provide that further clarification and information in response to that good question about unintended engagements. I think the other issue our distinguished colleague raised was with regard to our proposal with regard to unintended artificial intelligence pardon me, unintended bias in artificial intelligence capabilities and we in particular wanted to add the notion of unintended before bias. And I take the point that our colleague raised, which was a very good one, that there are obligations related to discrimination in international human rights law, that there certainly is a core IHL obligation requiring human treatment without adverse distinction based on a number of criteria and, of course, that is found in common Article 3 of the 1949 Geneva Conventions as well as other critical IHL instruments. And, of course, we believe these are very important obligations and need to be strictly adhered to. I think the legal point that we would make is that these obligations about refraining from discrimination or requiring human treatment without adverse distinction are applicable to people. And this is, of course, reflected in the 2019 GGE report where it was emphasized that rules of IHL apply to states, they apply to parties to a conflict, they apply to individuals, not machines. And so we do not see the reference to bias when we are talking about AI bias as referring to these legally prohibited categories of discrimination because we do not regard those legal obligations as applicable to the machines. When we are referring to AI bias, we are talking about a very technical phenomenon with regard to the programming of artificial intelligence capabilities. And I think it is a subject of much discussion and much expert interest. It is not necessarily connected to these legal categories that are protected from discrimination but the general phenomenon is that when machine learning or AI systems are used, they can reflect various biases that are present in the training data. And one of the key efforts to promote good practices with regard to responsible AI is to try and mitigate those biases. But, again, I think the key point I would emphasize is these are very technical biases, biases presented in the training data, and they are not necessarily connected to the things that we regard as protected criteria under international human rights law or international humanitarian law. So that is why we think the word "" unintended "" is important, because in the case of some AI models, there is a deliberate intent to bias the model's output and we think that can be quite positive a a positive effect including to enhance discrimination and precision in the use of force as required by IHL. So hopefully this is a helpful contribution to the discussion and I thank you, Mr. Chair and colleagues.","[...]I think the other issue our distinguished colleague raised was with regard to our proposal with regard to unintended artificial intelligence pardon me, unintended bias in artificial intelligence capabilities and we in particular wanted to add the notion of unintended before bias. And I take the point that our colleague raised, which was a very good one, that there are obligations related to discrimination in international human rights law, that there certainly is a core IHL obligation requiring human treatment without adverse distinction based on a number of criteria and, of course, that is found in common Article 3 of the 1949 Geneva Conventions as well as other critical IHL instruments. And, of course, we believe these are very important obligations and need to be strictly adhered to. I think the legal point that we would make is that these obligations about refraining from discrimination or requiring human treatment without adverse distinction are applicable to people. And this is, of course, reflected in the 2019 GGE report where it was emphasized that rules of IHL apply to states, they apply to parties to a conflict, they apply to individuals, not machines. And so we do not see the reference to bias when we are talking about AI bias as referring to these legally prohibited categories of discrimination because we do not regard those legal obligations as applicable to the machines. When we are referring to AI bias, we are talking about a very technical phenomenon with regard to the programming of artificial intelligence capabilities. And I think it is a subject of much discussion and much expert interest. It is not necessarily connected to these legal categories that are protected from discrimination but the general phenomenon is that when machine learning or AI systems are used, they can reflect various biases that are present in the training data. And one of the key efforts to promote good practices with regard to responsible AI is to try and mitigate those biases. But, again, I think the key point I would emphasize is these are very technical biases, biases presented in the training data, and they are not necessarily connected to the things that we regard as protected criteria under international human rights law or international humanitarian law. So that is why we think the word "" unintended "" is important, because in the case of some AI models, there is a deliberate intent to bias the model's output and we think that can be quite positive a a positive effect including to enhance discrimination and precision in the use of force as required by IHL. [...]",x,,x,x,,,,,,x,,x,,,,,,,
AUSTRALIA,10:35:53,2024-03-07,0:07:13,"Chair, we would now like to offer some comments on each of the sub-questions under topic 3. Turning to the first, being concrete risks with regard to the development and use of laws, we note that the GGE has been discussing risks of laws for some time now. As Delegations observed yesterday, there is a substantial amount of existing consensus language on risk in previous GGE reports that should be the starting point for our discussions on this topic. Several of these paragraphs from past consensus reports were drawn to our attention by Delegations yesterday. Over the course of past GGE sessions, different risks have been emphasized by different Delegations. My Delegation has largely been approaching risk through the lens of IHL compliance by focusing on mitigating the risk of unintended engagements and civilian harm. We think this is an appropriate we think this is appropriate in an IHL forum such as the CCW. As a general point, it is helpful to be clear on what risks relate to autonomous functions in weapons generally and which relate to specific AI technologies. Some risks listed here are uniquely related to the incorporation of artificial intelligence in weapons systems and we support the suggestion made yesterday by one Delegation to use more precise language where risk does relate to AI. For example, stating algorithmic bias in AI. We echo the observation yesterday that some of the points outlined are not risks of themselves. Rather, they are causes, consequences, or effects of risks. For example, the lack of human judgment in the design or use of a system may lead to risks of noncompliance with IHL and we think it is important to bear in mind this distinction when classifying the different risks. With respect to the first bullet point, we note that the risk of unintended engagements and loss of control of a system is a specific risk that is already been identified in previous GGE reports. Turning now to the second sub question regarding concrete risk mitigation measures with regard to the development and use of laws, we think this is an area where there is substantial common ground between GGE Delegations. If you look at the various proposals on the table, they all contain very similar risk mitigation measures. We heard yesterday suggestions on how to classify and categorize these risks and we think it would also be helpful to organize the risk mitigation measures into categories. We suggest one way of doing this could be to group them by the various measures taken at the various stages of a weapon's life cycle or the various stages of the life cycle of a weapon system. For example, risk mitigation measures to implement at the design, development and use stages. This would build on guiding principle G which notes that risk assessments and mitigation measures should be part of the design, development, testing and deployment cycle of emerging technologies in any weapon system. We also note that the GGE reports of 2018 and 2019 contain useful consensus language on risk mitigation measures. My Delegation endorses the views expressed by the ICRC yesterday on the need to distinguish legal obligations and measures to comply with legal obligations. We think this is a very important point. Several of the measures listed here are what we would categorize as IHL obligations and others are measures to ensure respect for IHL by a state's armed forces. So, for example, assessing expected collateral damage in relation to concrete military advantage would be a part of a proportionality assessment as required by IHL. We note that some of the risk mitigation measures outlined are quite vague. For example, the point on safety mechanisms, technical and organizational safeguards, et cetera, it is not clear to us what kind of safeguards or mechanisms are being referred to here. We also note that the term potential precaution could benefit from rephrasing or further elaboration as it may create confusion with the IHL obligation to take feasible precautions in attack. On the point about ensuring predictability, accountability, et cetera, we echo the point expressed by some Delegations yesterday that these are not risk mitigation measures but rather are goals or effects of other measures. We suggest risk mitigation measures should focus on the practical measures that can be implemented in order to reduce risk. Finally, we turn to the third prompt regarding concrete confidence building measures with regard to the development and use of laws. We understand confidence building measures as referring to measures that build mutual trust between states. CBMs are usually underpinned by the exchange of relevant information among states so as to clarify others' intentions, avoid suspicion and reduce misperceptions. As you, Chair, have set out in your prompt, we would like to see risk mitigation measures and CBMs as conceptually distinct. Given how we understand CBMs, we would like to see some of the actions listed sorry, we would see some of the actions listed as somewhat misplaced under this particular heading. For example, ensuring military documents and training for military personnel are updated and measures enabling after action review of a weapon system, those measures are in our view good practices for ensuring compliance with IHL by states armed forces rather than what we would typically categorize as a confidence building measure. We are of the view that the ICRC's point about the need to be clear about what measures are legal obligations and which go beyond this is equally relevant to the points listed under this prompt. We are pleased to see included in this list the voluntary exchange of relevant best practices on legal reviews and we note that this was also referenced in paragraph 23 of the 2023 laws GGE report. Thank you, Chair.","[...] As a general point, it is helpful to be clear on what risks relate to autonomous functions in weapons generally and which relate to specific AI technologies. Some risks listed here are uniquely related to the incorporation of artificial intelligence in weapons systems and we support the suggestion made yesterday by one Delegation to use more precise language where risk does relate to AI. For example, stating algorithmic bias in AI. [...]",,,,x,,,,,,,x,,,,,,,,
GERMANY,10:56:37,2024-03-07,0:01:06,"Germany is also of the view that the risks related to the development and use of laws may be seen to fall under certain categories. We are in favor of that concept. We see risks related to unpredictable system behavior, algorithmic biases, reliability which may inter alia lead to unintended biases such as on gender aspects. Adequate testing, legal reviews and adequate training for human decision makers and operators to understand the system's effect and its likely interaction with its environment are in our view key to countering these risks. Other risks may be related to a possible loss of human control, the lack of human judgment or lack of accountability. We also see the risk of development, deployment and use of laws by non-state actors. In our view, the second tier focused on regulations could address the aforementioned issues and the concept of their categorization. Thank you.","[...]Germany is also of the view that the risks related to the development and use of laws may be seen to fall under certain categories. We are in favor of that concept. We see risks related to unpredictable system behavior, algorithmic biases, reliability which may inter alia lead to unintended biases such as on gender aspects. Adequate testing, legal reviews and adequate training for human decision makers and operators to understand the system's effect and its likely interaction with its environment are in our view key to countering these risks. [...]",x,x,,x,,,,x,,,x,,x,,,,,,
BELGIUM,11:01:15,2024-03-07,0:03:42,"Thank you very much, Chair. Chair, the issue of the autonomous nature of weapons systems requires specific questions to be defined, especially looking at how this relates to IHL in terms of the use of these kinds of weapons. My Delegation should like to thank you for your questions and for having brought together the responses of the Delegations and should also like to thank the Delegations who have provided responses. Belgium should like to more specifically provide support at the following points with regard to the first question. On the first point, loss of human control, Belgium prefers the terminology loss of human control to the previous terminology given that the unintentional actions and the loss of control in the systems are included in the notion of loss of human control in general terms. As far as the second point is concerned, my Delegation supports the idea of unpredictable system behavior or unpredictability. We support that notion of unpredictability, whilst bearing in mind the discussions that we have had this week and whilst understanding that this terminology may be considered as lacking precision, I am talking about unpredictability here, we nevertheless support the first which we think covers the same concept whilst being a little bit more specific. We prefer the use of unpredictability rather than behavior to avoid the impression that a machine or system can have behavior attributed to it and, therefore, we should be avoiding anthropomorphizing weapon systems. In terms of biases, which was extensively discussed already, the use of autonomous weapon systems by the very nature of those systems involves the risks of bias and these are various types and not only attributable to artificial intelligence but especially to the developers themselves. My Delegation, therefore, prefers data biases in general given that they may be biases even when using a large amount of data so my Delegation supports the intervention made by the Delegation of Austria yesterday with regard to biases. For us, by definition, a bias is unintentional and includes, therefore, the mention of unintended bias rather than that terminological specificity. My Delegation supports the notion of deployment and use and acquisition by unauthorized users including terrorist groups. My Delegation welcomes the inclusion of a point relating to a danger to non-state actors. In particular, we would be sensitive to the last suggestion which we think integrates larger spectrum of users without going into discussions into what is and what is not a non-state actor. But it is not simply acquisition but also deployment and use of the systems by nonauthorized users which represents a risk. So deployment and use and acquisition by unauthorized users including terrorist groups is what we would support. Thank you very much, Chair.","[...] In terms of biases, which was extensively discussed already, the use of autonomous weapon systems by the very nature of those systems involves the risks of bias and these are various types and not only attributable to artificial intelligence but especially to the developers themselves. My Delegation, therefore, prefers data biases in general given that they may be biases even when using a large amount of data so my Delegation supports the intervention made by the Delegation of Austria yesterday with regard to biases. For us, by definition, a bias is unintentional and includes, therefore, the mention of unintended bias rather than that terminological specificity. [...] ",,,,x,,,,,,x,,,x,,,,,,
CANADA,11:30:55,2024-03-07,0:02:04,"Thank you, Mr. Chair. My Delegation has asked for the floor to thank Ireland for presenting the working paper on addressing bias in autonomous weapons including in particular as algorithmic bias relates to gender. There was no question as to the importance for Canada to support the paper. As we heard yesterday from the panelists on the gender side event which Canada was also pleased to cosponsor, the question of gender in AI and indeed in military automated applications is not a fringe discussion to our deliberations here but indeed it is important to the discussions on laws specifically in the context of biases. Mr. Chair, Canada recognizes that maintaining international peace and security requires an inclusive approach that considers the perspectives of all persons and that gender balance and gender considerations have a positive impact on decision making processes related to nonproliferation, armed controls and disarmament issues at large. As we all know, it is not enough to simply have more women in the room. We must continue to recognize that biases including gender biases at the development stage of a weapon system can affect different populations and identities in different ways including women and gender diverse individuals. We would also like to acknowledge the wealth of research and data produced by international organizations in the field of gender biases in automation in weapon systems. We welcome the work and research from these organizations such as the reports produced by UNIDIR and believe international organizations have a pivotal role in our discussions within the GGE on this topic. Canada is pleased to be providing support to UNIDIR's gender and disarmament programs in the area of conventional weapons and ammunition. This support provides an opportunity for UNIDIR to explore greater connections between disarmament and gender equality across all disarmament fields. Thank you.","[...] My Delegation has asked for the floor to thank Ireland for presenting the working paper on addressing bias in autonomous weapons including in particular as algorithmic bias relates to gender. There was no question as to the importance for Canada to support the paper. As we heard yesterday from the panelists on the gender side event which Canada was also pleased to cosponsor, the question of gender in AI and indeed in military automated applications is not a fringe discussion to our deliberations here but indeed it is important to the discussions on laws specifically in the context of biases. Mr. Chair, Canada recognizes that maintaining international peace and security requires an inclusive approach that considers the perspectives of all persons and that gender balance and gender considerations have a positive impact on decision making processes related to nonproliferation, armed controls and disarmament issues at large. As we all know, it is not enough to simply have more women in the room. We must continue to recognize that biases including gender biases at the development stage of a weapon system can affect different populations and identities in different ways including women and gender diverse individuals. We would also like to acknowledge the wealth of research and data produced by international organizations in the field of gender biases in automation in weapon systems. We welcome the work and research from these organizations such as the reports produced by UNIDIR and believe international organizations have a pivotal role in our discussions within the GGE on this topic. [...]",,x,,x,x,,,,,x,x,,x,,,,,,
BELGIUM,11:37:54,2024-03-07,0:05:17,"Thank you, Chairman. Chair on risk mitigation measures, my Delegation should like to recall guiding principle E of the GGE in favor of the universalization of the legal review of all weapon systems including autonomous weapon systems as early as possible in terms of the development or acquisition of weapon systems in line with Article 36 of AP1 in the Geneva Convention as the Swedish Delegation just recalled the examination of lawfulness should in our opinion be renewed if there are any significant changes made to the weapon in terms of its essential functions or indeed its effects. That is particularly important with regard to autonomous weapon systems because these systems may include machine learning or automatic intelligence capacities. For my Delegation guaranteeing the compliance with international law including IHL and its fundamental principles of distinction, proportionality and precaution means evolving clear standards and guidelines in terms of design and human behavior with regard to the deployment and use of these systems whilst highlighting maintaining meaningful human control but also in terms of responsibility and accountability throughout the life cycle. These requirements may include but are not limited to limits on the type of target that the system can engage, limits on the duration, the geographical scope of the use of the weapon system, clear procedures to guarantee that the commander and the human operators are properly trained and informed about the system and that their behavior and their effects and requirements with regard to the interaction between humans and the machine and the intervention and deactivation at an appropriate time if necessary as well as test procedures, certification and rigorous validation procedures, requirements with regard to safe registration systems as well as limits on the capacity of the weapon system to in live times implement aspects in its critical functions. Whilst taking into account the position my Delegation should like to provide its support to the following points that you highlighted in your document. Rigorous testing and evaluation. We think it is not only about undertaking tests but also being able to undertake evaluation and assessments with regard to the results of these tests. We think the first version of this point is more specific and precise. My Delegation also supports the mentions of script qualifications assessment validation procedures and, of course, legal reviews whilst maintaining the fact that these issues relating to lawfulness look at all weapon systems including autonomous weapon systems and their particularity should be once again applied to each amendment or modification made to the weapon system. My Delegation also supports the question on adequate training of personnel. Education in international humanitarian law is also recommended by my Delegation for any deployment and not only that including autonomous weapons but also semi -autonomous weapons. Appropriate engagement in another point from my Delegation appropriate rules of engagement encapsulates the following proposal on the same point. In terms of biases, the question has already been examined during the risk-related issues but my Delegation would support that the proposals that have been used here to reduce bias and unattended bias is probably that which would enjoy our support most in terms of data biases. This might be more beneficial if it is generic and would avoid specifying those biases or unintentional biases that we already mentioned previously. Finally, Chairman, although for Belgium the adoption of an international legally binding instrument looking to prohibit and regulate autonomous weapons systems is necessary, my Delegation nevertheless thinks that national legal reviews are the best way to fully implement the obligations contained in international instrument whether it be binding or not at a national level. In terms of the following up the various elements contained within an instrument that may be adopted by the high contracting parties of the CCW, it would be possible to establish a mechanism to exchange good practices and the challenges thrown up during the review. Thank you.","[...] In terms of biases, the question has already been examined during the risk - related issues but my Delegation would support that the proposals that have been used here to reduce bias and unattended bias is probably that which would enjoy our support most in terms of data biases. This might be more beneficial if it is generic and would avoid specifying those biases or unintentional biases that we already mentioned previously. [...]",,,,x,,,,,,x,,,,,,,,,
IRELAND,11:08:05,2024-08-26,0:03:18,"Good to be joining the group for the first time. Thank you very much, Ambassador Indien-Bosch for efforts throughout the intercessional period including through the preparatory informal consultations. We emphasize strongly the importance of inclusive consultations throughout incorporating the expertise of observers including the ICRC and civil society organizations. Ireland underlines the urgency of the GGE's work. We note the UN Secretary General's recently published report underlying the strong sense that time is running out for the international community to take preventive action on this issue. We recall its call for CCWI contracting parties to fulfill the GGE's mandate as soon as possible which is ideally by end 2025. In addition to the UNSG's report, the various complimentary initiatives developing outside the GGE also provide impetus for our work here and reaffirm how we need to address autonomous weapons systems across a range of issues including international human rights law, international criminal law, ethics, human dignity and security. Chair, we welcome your rolling text which offers a concrete basis for our deliberations and allows for a focused discussion on outcomes. We urge all Delegations to engage on that basis, noting again the urgency of our work rather than repeating theoretical debates which we have held over the years. Chair, Ireland reiterates that human beings must make and remain accountable for decisions over the use of lethal force and must exert full control over lethal weapons systems. Affording machines the ability to make decisions over life and death is inconsistent with international law, in particular IHL, since humans must determine the lawfulness of an attack and raises serious ethical concerns. We join the global calls including by the UN Secretary General and the ICRC President to urgently establish legally binding rules and guidelines on autonomous weapons systems. We draw attention to the particular risk of bias in autonomous weapons systems, in particular that algorithms and related machine learning risk repeating, amplifying or contributing to unjust biases including regarding race, gender, age and disability. This unique challenge must be addressed when discussing prohibitions and regulations. We encourage high contracting parties to consult the joint working paper on bias submitted in the March session which is still open for endorsement and invite HCPs to a side event on the matter on Wednesday. Thank you very much.","[...] We draw attention to the particular risk of bias in autonomous weapons systems, in particular that algorithms and related machine learning risk repeating, amplifying or contributing to unjust biases including regarding race, gender, age and disability. This unique challenge must be addressed when discussing prohibitions and regulations. We encourage high contracting parties to consult the joint working paper on bias submitted in the March session which is still open for endorsement and invite HCPs to a side event on the matter on Wednesday. [...]",x,x,,x,,,,,,,x,,,,,,,,
PERU,11:59:17,2024-08-29,0:03:10,"Thank you, Chairperson. My Delegation agrees with those that have expressed the view that this part on prohibitions and restrictions is the most significant of the work before us this week. I would like to make some specific comments regarding paragraph 5. My Delegation agrees with Brazil, Ireland and the ICRC that it is preferable to use human control rather than appropriate control. On paragraph 6, my Delegation also supports the same Delegations, Brazil, Ireland and the ICRC and possibly others in the proposal that this be worded as a prohibition as my colleague from El Salvador mentioned just now. Peru is also one of the countries that presented the draft protocol 6 which includes prohibitions and restrictions along these lines. Finally, I would like to support the idea put forward for an additional paragraph that was mentioned just now by the ICRC and that would be on the need to prohibit autonomous weapons designed in such a way that they can be activated in the human presence. As was stated, this is one of the conclusions of the document prepared by the Presidency of the Vienna Conference. The selection of persons is a very pressing issue, targeting of human beings. Autonomous weapons that distinguish certain groups of persons from others would give rise to issues of partiality in the data and algorithms on which they are based. Thus, we consider that the idea of the proposal made by the ICRC for the additional paragraph is relevant. Thank you.","[...] The selection of persons is a very pressing issue, targeting of human beings. Autonomous weapons that distinguish certain groups of persons from others would give rise to issues of partiality in the data and algorithms on which they are based. [...]",,,,,,,,,,x,x,,,,,,,,
AUSTRIA,11:11:07,2024-08-30,0:04:36,"Thank you very much and we also have some comments on this section. I think as a general comment, I think this section on the one hand helps us to put out some additional measures that states should take to some extent with existing legal obligations such as the ones to undertake legal reviews but then it also could help us to spell out some more technically related measures that we also see as necessary to comply with IHL. On the first para, we also agree with the Russian Federation. I think this is a good addition. On the second para and the issue of legal reviews, we are also very much in line with what the SCRC has just suggested. What we see as a problem here with this para is that it is going below the current obligations of legal reviews and how they are conducted. I mean, to understand the weapons capabilities is not necessarily the main point of conducting such a legal review. For most of us who are part of additional protocol 1, there is a very specific formulation what we are supposed to do under those legal reviews and this formulation additional protocol 1 is very clear and very relevant when it comes to autonomous weapon systems. And we have, as the SCRC has pointed out, we have agreed language in that respect which would be the guiding principle E and also last year's formulation that we have used in a shortened version which is also based on previous formulations I think that we have already there. There is a lot of text. I think we should use this agreed language on legal reviews and the proposal that we separate this current para that also has very valuable elements about understand the weapons capabilities and so on could be separated out as a measure on its own because it is also not clearly linked with the legal reviews as they are set out under additional protocol 1 or national measures that states are already undertaking. We could change this to states should take measures or states should conduct reviews to understand weapons capabilities and limitations. I mean, those are two options. Otherwise, as I said at the beginning, this para would be too limiting. Then we have some other proposals. One is, I mean, we would have proposed something in a separate para. I think the SCRC wanted to link it with the legal reviews but definitely there should be one after the other. The para that we wanted to propose reads states should constantly review and reassess possible changes and modifications in the systems functioning, in particular in relation to machine learning and the datasets the systems functions are based on. We will send this in writing. Then at the very end or in the next para we would like to delete unwanted bias because we do not think that there is wanted bias. In our interpretation bias is always a flaw in the system that you should prevent to be included. We know that other states are seeing this differently but unwanted bias would lead us to the conclusion that there is a kind of bias that we want. I know that there is a discussion still to have upon this, but our interpretation is more technical, less sociological. We always consider bias as something that is a flaw in the system and does not lead to results which were originally intended when you have designed the systems which would in our context make it a violation of IHL. Then we would at the end like to add some new paras that are also important and are going in to a direction when it comes to the technological part of autonomous weapon systems. The first one would read states should ensure the integrity, quality and diversity of datasets they use. And the next one should be states should ensure the safety of such weapon systems in particular with regard to cybersecurity. That is all from our side on this part. Thank you.","[...] Then at the very end or in the next para we would like to delete unwanted bias because we do not think that there is wanted bias. In our interpretation bias is always a flaw in the system that you should prevent to be included. We know that other states are seeing this differently but unwanted bias would lead us to the conclusion that there is a kind of bias that we want. I know that there is a discussion still to have upon this, but our interpretation is more technical, less sociological. We always consider bias as something that is a flaw in the system and does not lead to results which were originally intended when you have designed the systems which would in our context make it a violation of IHL. [...]",,,,x,,,,,,,,,,,,,,,
ENCODE JUSTICE,12:17:41,2024-08-30,0:01:02,I will try to speak a lot slower than I did in my previous intervention. We were happy to hear our considerations on unintended versus intended bias and continuous review of systems echoed by so many Delegations this morning. And we also want to express support for the proposal of the UK just now to take out the word possible additional to the word unwanted in paragraph 3. And we also welcome the echoing of the Delegation of India of drift that can appear over the life cycle of an algorithm we brought forward yesterday. Our remark would be rather short and would only suggest to refer to model drift instead of data drift in the text as proposed by the Delegation of India. As data drift is only one example of model drift that can appear over the life cycle of that algorithm that would lead to the decay that is brought forward by our colleague of the University of Cambridge as well. Thank you.,"[...] We were happy to hear our considerations on unintended versus intended bias and continuous review of systems echoed by so many Delegations this morning. And we also want to express support for the proposal of the UK just now to take out the word possible additional to the word unwanted in paragraph 3.
And we also welcome the echoing of the Delegation of India of drift that can appear over the life cycle of an algorithm we brought forward yesterday. Our remark would be rather short and would only suggest to refer to model drift instead of data drift in the text as proposed by the Delegation of India. As data drift is only one example of model drift that can appear over the life cycle of that algorithm that would lead to the decay that is brought forward by our colleague of the University of Cambridge as well. [...]",,,,,,,,,,x,x,,,,,,,,
